date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2022-05-05,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.011981,-0.005467
2022-05-06,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.039127,-0.020858
2022-05-09,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.012149,-0.012315
2022-05-10,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.029658,-0.022115
2022-05-11,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.002364,0.012872
2022-05-12,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.037060,0.021033
2022-05-13,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.011592,-0.005697
2022-05-16,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.025901,0.005650
2022-05-17,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.049090,-0.034490
2022-05-18,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.005358,0.001002
2022-05-19,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.003108,-0.015181
2022-05-20,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.016627,0.012873
2022-05-23,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.021262,-0.003089
2022-05-24,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.013995,0.019425
2022-05-25,QQQ,neutral,-2,normal,-2,-1,-1,1,1,0.027707,0.030609
2022-05-26,QQQ,neutral,-1,normal,-2,-1,0,1,1,0.032640,0.021683
2022-05-27,QQQ,neutral,1,normal,0,-1,0,1,1,-0.002653,-0.002556
2022-05-31,QQQ,neutral,0,normal,0,-1,0,1,0,-0.007396,-0.014398
2022-06-01,QQQ,neutral,0,normal,0,-1,0,1,0,0.027386,0.031261
2022-06-02,QQQ,neutral,1,normal,0,-1,0,1,1,-0.026019,-0.009158
