date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2022-07-15,GLD,bearish,-5,normal,-2,-1,-1,-1,0,0.000943,-0.005747
2022-07-18,GLD,bearish,-5,normal,-2,-1,-1,-1,0,0.002387,0.000439
2022-07-19,GLD,bearish,-5,normal,-2,-1,-1,-1,0,-0.009402,-0.010457
2022-07-20,GLD,bearish,-6,normal,-2,-1,-1,-1,-1,0.014110,0.012381
2022-07-21,GLD,bearish,-4,normal,-2,-1,-1,-1,1,0.002496,0.000747
2022-07-22,GLD,neutral,-2,normal,-2,-1,-1,1,1,-0.002739,-0.002552
2022-07-25,GLD,bearish,-4,normal,-2,-1,-1,1,-1,-0.001186,-0.001186
2022-07-26,GLD,bearish,-3,normal,-2,-1,-1,1,0,0.010185,0.010311
2022-07-27,GLD,neutral,-2,normal,-2,-1,-1,1,1,0.012185,0.002021
2022-07-28,GLD,neutral,1,normal,0,-1,0,1,1,0.002811,0.001281
2022-07-29,GLD,neutral,1,normal,0,-1,0,1,1,0.005667,0.000303
2022-08-01,GLD,neutral,2,normal,0,-1,1,1,1,-0.005938,-0.009719
2022-08-02,GLD,neutral,-1,normal,0,-1,0,1,-1,0.002438,-0.001942
2022-08-03,GLD,neutral,0,normal,0,-1,0,1,0,0.016540,0.009908
2022-08-04,GLD,bullish,3,normal,1,-1,1,1,1,-0.011246,0.001818
2022-08-05,GLD,neutral,-1,normal,0,-1,0,1,-1,0.008470,0.003975
2022-08-08,GLD,bullish,3,normal,1,-1,1,1,1,0.003060,-0.001672
2022-08-09,GLD,bullish,3,normal,1,-1,1,1,1,-0.002512,-0.003644
2022-08-10,GLD,neutral,1,normal,1,-1,1,1,-1,-0.002638,-0.004906
2022-08-11,GLD,neutral,1,normal,1,-1,1,1,-1,0.009198,0.004187
2022-08-12,GLD,bullish,3,normal,1,-1,1,1,1,-0.012867,-0.001687
2022-08-15,GLD,neutral,-1,normal,0,-1,0,1,-1,-0.001750,0.000665
2022-08-16,GLD,neutral,-1,normal,0,-1,0,1,-1,-0.006468,-0.005205
2022-08-17,GLD,bearish,-3,normal,-2,-1,0,1,-1,-0.002616,-0.004131
2022-08-18,GLD,bearish,-3,normal,-2,-1,0,1,-1,-0.007321,-0.005683
2022-08-19,GLD,bearish,-6,normal,-2,-1,-1,-1,-1,-0.006637,-0.000124
