date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2018-11-07,^NDX,bullish,3,expanded,0,1,0,1,1,-0.006183,-0.002453
2018-11-08,^NDX,neutral,2,expanded,0,1,0,1,0,-0.016685,-0.007935
2018-11-09,^NDX,neutral,-1,expanded,-2,1,0,1,-1,-0.029840,-0.023070
2018-11-12,^NDX,bearish,-4,expanded,-2,-1,-1,1,-1,0.000265,-0.004036
2018-11-13,^NDX,bearish,-3,expanded,-2,-1,-1,1,0,-0.008936,-0.018319
2018-11-14,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.017811,0.020712
2018-11-15,^NDX,bearish,-3,expanded,-2,-1,-1,1,0,-0.003400,0.006447
2018-11-16,^NDX,bearish,-3,expanded,-2,-1,-1,1,0,-0.032634,-0.027711
2018-11-19,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,-0.017456,0.007919
2018-11-20,^NDX,bearish,-6,expanded,-2,-1,-1,-1,-1,0.007461,-0.004912
2018-11-21,^NDX,bearish,-5,expanded,-2,-1,-1,-1,0,-0.007347,0.000357
2018-11-23,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.023132,0.009302
2018-11-26,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,0.003399,0.009285
2018-11-27,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,0.031680,0.023268
2018-11-28,^NDX,neutral,1,normal,0,-1,0,1,1,-0.003028,0.000226
2018-11-29,^NDX,neutral,0,normal,0,-1,0,1,0,0.008213,0.006776
2018-11-30,^NDX,neutral,1,normal,0,-1,0,1,1,0.016279,-0.006291
2018-12-03,^NDX,bullish,5,normal,1,1,1,1,1,-0.037796,-0.032959
2018-12-04,^NDX,bearish,-3,normal,-2,-1,0,1,-1,0.006422,0.028069
2018-12-06,^NDX,neutral,-2,normal,-2,-1,0,1,0,-0.032984,-0.028406
2018-12-07,^NDX,bearish,-4,normal,-2,-1,-1,1,-1,0.010503,0.012021
2018-12-10,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.003217,-0.011525
2018-12-11,^NDX,bearish,-3,normal,-2,-1,-1,1,0,0.008908,-0.005380
2018-12-12,^NDX,neutral,-2,normal,-2,-1,0,1,0,0.000593,-0.005544
2018-12-13,^NDX,neutral,-2,normal,-2,-1,0,1,0,-0.025563,-0.012717
2018-12-14,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.022225,-0.018659
2018-12-17,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.006688,-0.001784
2018-12-18,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,-0.022884,-0.021193
2018-12-19,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.015731,-0.011014
2018-12-20,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.031495,-0.039169
2018-12-21,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,-0.024346,-0.015804
2018-12-24,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.061603,0.049202
2018-12-26,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,0.004076,0.019405
2018-12-27,^NDX,bearish,-4,normal,-2,-1,-1,-1,1,-0.000482,-0.006536
2018-12-28,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.007112,-0.003915
2018-12-31,^NDX,bearish,-5,normal,-2,-1,-1,-1,0,0.004882,0.026165
2019-01-02,^NDX,bearish,-3,normal,-2,-1,-1,1,0,-0.033602,-0.020340
2019-01-03,^NDX,bearish,-6,normal,-2,-1,-1,-1,-1,0.044824,0.027619
2019-01-04,^NDX,neutral,1,normal,0,-1,0,1,1,0.010211,0.008346
2019-01-07,^NDX,neutral,1,normal,0,-1,0,1,1,0.009802,-0.000619
2019-01-08,^NDX,neutral,1,normal,0,-1,0,1,1,0.007454,0.003672
2019-01-09,^NDX,neutral,1,normal,0,-1,0,1,1,0.003068,0.010669
2019-01-10,^NDX,neutral,0,normal,0,-1,0,1,0,-0.002951,0.003269
2019-01-11,^NDX,neutral,0,normal,0,-1,0,1,0,-0.009143,0.000714
2019-01-14,^NDX,neutral,-1,normal,0,-1,0,1,-1,0.019660,0.014988
2019-01-15,^NDX,bullish,3,normal,1,-1,1,1,1,-0.000162,-0.001321
2019-01-16,^NDX,neutral,2,normal,1,-1,1,1,0,0.007481,0.010872
2019-01-17,^NDX,neutral,2,normal,1,-1,1,1,0,0.009847,0.001933
2019-01-18,^NDX,bullish,3,normal,1,-1,1,1,1,-0.020311,-0.013336
2019-01-22,^NDX,neutral,-1,normal,0,-1,0,1,-1,0.001798,-0.004533
2019-01-23,^NDX,neutral,1,normal,1,-1,0,1,0,0.006576,0.003325
2019-01-24,^NDX,neutral,2,normal,1,-1,1,1,0,0.012655,0.004692
2019-01-25,^NDX,bullish,3,normal,1,-1,1,1,1,-0.013301,0.000785
2019-01-28,^NDX,neutral,0,normal,1,-1,0,1,-1,-0.009601,-0.009397
2019-01-29,^NDX,neutral,-1,quiet,0,-1,0,1,-1,0.026402,0.014809
2019-01-30,^NDX,bullish,3,normal,1,-1,1,1,1,0.014532,0.009635
2019-01-31,^NDX,bullish,5,normal,1,1,1,1,1,-0.004535,0.000406
