date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2013-12-03,GC=F,bearish,-5,quiet,-2,-1,-1,-1,0,0.021691,0.018856
2013-12-04,GC=F,bearish,-4,normal,-2,-1,-1,-1,1,-0.012017,-0.005484
2013-12-05,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,-0.002352,0.001302
2013-12-06,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,0.004064,0.004146
2013-12-09,GC=F,bearish,-3,normal,-2,-1,-1,1,0,0.021938,0.018886
2013-12-10,GC=F,neutral,1,normal,0,-1,0,1,1,-0.003089,-0.002694
2013-12-11,GC=F,neutral,0,normal,0,-1,0,1,0,-0.025824,-0.021939
2013-12-12,GC=F,bearish,-4,normal,-2,-1,-1,1,-1,0.007912,0.007337
2013-12-13,GC=F,bearish,-3,normal,-2,-1,-1,1,0,0.007931,0.005733
2013-12-16,GC=F,neutral,-1,normal,-2,-1,0,1,1,-0.011481,-0.004689
2013-12-17,GC=F,bearish,-3,normal,-2,-1,-1,1,0,0.003980,0.003735
2013-12-18,GC=F,bearish,-3,normal,-2,-1,-1,1,0,-0.033250,-0.025762
2013-12-19,GC=F,bearish,-6,normal,-2,-1,-1,-1,-1,0.008452,0.011924
2013-12-20,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,-0.005560,-0.005642
2013-12-23,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,0.005591,0.004417
2013-12-24,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,0.007468,0.005799
2013-12-26,GC=F,bearish,-4,normal,-2,-1,-1,-1,1,0.001647,0.002225
2013-12-27,GC=F,neutral,-2,normal,-2,-1,-1,1,1,-0.010690,-0.009794
2013-12-30,GC=F,bearish,-6,normal,-2,-1,-1,-1,-1,-0.000997,0.004597
2013-12-31,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,0.019220,0.017188
2014-01-02,GC=F,neutral,1,normal,0,-1,0,1,1,0.010939,0.013670
2014-01-03,GC=F,neutral,1,normal,0,-1,0,1,1,-0.000484,0.004056
2014-01-06,GC=F,neutral,0,normal,0,-1,0,1,0,-0.006786,-0.007988
